test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
R0020C	R0020C	REP1	2-micron:1886-3008	Batch	Chem	NOTEST	0	0	0	0	1	1	no
R0030W	R0030W	RAF1	2-micron:3270-3816	Batch	Chem	NOTEST	0	0	0	0	1	1	no
R0040C	R0040C	REP2	2-micron:5307-6198	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN18-1	RDN18-1,RDN37-1	RDN18-1,RDN37-1	chrXII:451786-457733	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RDN18-2	RDN18-2,RDN37-2	RDN18-2,RDN37-2	chrXII:460923-466870	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RDN25-1	RDN25-1	RDN25-1	chrXII:451786-457733	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RDN25-2	RDN25-2	RDN25-2	chrXII:460923-466870	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RDN37-1	RDN37-1	RDN37-1	chrXII:451786-457733	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN37-2	RDN37-2	RDN37-2	chrXII:460923-466870	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-1	RDN5-1	RDN5-1	chrXII:459676-459797	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-2	RDN5-2	RDN5-2	chrXII:468813-468959	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-3	RDN5-3	RDN5-3	chrXII:472465-472611	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-4	RDN5-4	RDN5-4	chrXII:482045-482191	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-5	RDN5-5	RDN5-5	chrXII:485697-485843	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN5-6	RDN5-6	RDN5-6	chrXII:489349-489470	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RDN58-1	RDN58-1	RDN58-1	chrXII:451786-457733	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RDN58-2	RDN58-2	RDN58-2	chrXII:460923-466870	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
RNA170	RNA170	RNA170	chrXIII:667286-667455	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RPM1	RPM1	RPM1	chrM:85294-85777	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RPR1	RPR1	RPR1	chrV:117666-118035	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF20	RUF20	RUF20	chrVI:131055-131498	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF21	RUF21	RUF21	chrVI:57813-58520	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF22	RUF22	RUF22	chrVI:199286-199801	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF23	RUF23	RUF23	chrVI:221701-221955	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF5-1	RUF5-1	RUF5-1	chrVIII:212410-213120	Batch	Chem	NOTEST	0	0	0	0	1	1	no
RUF5-2	RUF5-2	RUF5-2	chrVIII:214408-215118	Batch	Chem	NOTEST	0	0	0	0	1	1	no
SCR1	SCR1	SCR1	chrV:441982-442504	Batch	Chem	NOTEST	0	0	0	0	1	1	no
SRG1	SRG1	SRG1	chrV:322207-324091	Batch	Chem	NOTEST	0	0	0	0	1	1	no
TLC1	TLC1	TLC1	chrII:307586-308887	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL001C	YAL001C	TFC3	chrI:147595-151168	Batch	Chem	OK	2735.16	3056.29	0.160153	0.871088	0.14895	0.19603	no
YAL002W	YAL002W	VPS8	chrI:143708-147533	Batch	Chem	OK	1385.63	1591.32	0.19968	1.02454	0.08695	0.129688	no
YAL003W	YAL003W	EFB1	chrI:142175-143162	Batch	Chem	OK	145109	81057.3	-0.840128	-3.85509	5e-05	0.000112821	yes
YAL004W	YAL004W	YAL004W	chrI:139504-141433	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL005C	YAL005C	SSA1	chrI:139504-141433	Batch	Chem	OK	16835	99756.3	2.56695	11.9488	5e-05	0.000112821	yes
YAL007C	YAL007C	ERP2	chrI:137699-138347	Batch	Chem	OK	15024.2	6556.47	-1.1963	-8.09447	5e-05	0.000112821	yes
YAL008W	YAL008W	FUN14	chrI:136915-137512	Batch	Chem	OK	3566.52	12226.9	1.77746	10.6479	5e-05	0.000112821	yes
YAL009W	YAL009W	SPO7	chrI:135855-136635	Batch	Chem	OK	4572.93	5293.4	0.211078	1.34819	0.0655	0.0993793	no
YAL010C	YAL010C	MDM10	chrI:134185-135667	Batch	Chem	OK	1597.17	2356.8	0.561315	2.99487	5e-05	0.000112821	yes
YAL011W	YAL011W	SWC3	chrI:132201-134079	Batch	Chem	OK	2218.24	2445.2	0.140542	0.806161	0.19305	0.239273	no
YAL012W	YAL012W	CYS3	chrI:130801-131986	Batch	Chem	OK	32965.7	12812.2	-1.36345	-8.40637	5e-05	0.000112821	yes
YAL013W	YAL013W	DEP1	chrI:129270-130533	Batch	Chem	OK	4849.77	5505.85	0.183048	1.04263	0.11395	0.161735	no
YAL014C	YAL014C	SYN8	chrI:128252-129020	Batch	Chem	OK	4975.5	4482.83	-0.150431	-0.976776	0.1792	0.22528	no
YAL015C	YAL015C	NTG1	chrI:126903-128103	Batch	Chem	OK	3320.11	4165.72	0.327334	1.94436	0.00325	0.0065	yes
YAL016C-A	YAL016C-A	YAL016C-A	chrI:124755-126787	Batch	Chem	OK	6709.79	9415.7	0.488801	0.639934	0.25815	0.306989	no
YAL016C-B	YAL016C-B	YAL016C-B	chrI:124307-124493	Batch	Chem	NOTEST	781.879	1491.05	0.931315	0	1	1	no
YAL016W	YAL016W	TPD3	chrI:124755-126787	Batch	Chem	OK	6819.82	11201.6	0.715901	3.62829	5e-05	0.000112821	yes
YAL017W	YAL017W	PSK1	chrI:120225-124296	Batch	Chem	OK	1858.81	3313.42	0.833943	4.48177	5e-05	0.000112821	yes
YAL018C	YAL018C	YAL018C	chrI:118564-119542	Batch	Chem	OK	86.5921	365.067	2.07585	2.51041	0.02935	0.0487321	yes
YAL019W	YAL019W	FUN30	chrI:114919-118315	Batch	Chem	OK	3489.52	1900.15	-0.876913	-4.6841	5e-05	0.000112821	yes
YAL019W-A	YAL019W-A	YAL019W-A	chrI:113614-114820	Batch	Chem	OK	1721.01	1239.27	-0.473761	-0.54277	0.36225	0.405914	no
YAL020C	YAL020C	ATS1	chrI:113614-114820	Batch	Chem	OK	3379.96	2854.2	-0.243924	-0.886355	0.12495	0.171806	no
YAL021C	YAL021C	CCR4	chrI:110846-113360	Batch	Chem	OK	3443.39	3088.07	-0.157124	-0.85618	0.16565	0.214371	no
YAL022C	YAL022C	FUN26	chrI:108877-110431	Batch	Chem	OK	3783.61	2909.64	-0.378921	-2.15203	0.00085	0.00178095	yes
YAL023C	YAL023C	PMT2	chrI:106272-108552	Batch	Chem	OK	17225.1	6912.35	-1.31727	-7.4778	5e-05	0.000112821	yes
YAL024C	YAL024C	LTE1	chrI:101565-105873	Batch	Chem	OK	918.847	762.378	-0.269319	-1.42735	0.01425	0.02508	yes
YAL025C	YAL025C	MAK16	chrI:100225-101146	Batch	Chem	OK	15940.3	8224.47	-0.954683	-5.97058	5e-05	0.000112821	yes
YAL026C	YAL026C	DRS2	chrI:94687-99869	Batch	Chem	OK	2500.57	1845.41	-0.43832	-1.92625	0.00105	0.00214884	yes
YAL026C-A	YAL026C-A	YAL026C-A	chrI:94687-99869	Batch	Chem	OK	2260	1829.13	-0.305165	-0.51545	0.5837	0.604301	no
YAL027W	YAL027W	SAW1	chrI:94687-99869	Batch	Chem	OK	2078.69	4692.63	1.17472	2.9072	0.00075	0.00160976	yes
YAL028W	YAL028W	FRT2	chrI:92900-94487	Batch	Chem	OK	545.338	1072.39	0.975609	3.43516	5e-05	0.000112821	yes
YAL029C	YAL029C	MYO4	chrI:87855-92271	Batch	Chem	OK	3607.26	1712.1	-1.07514	-5.78974	5e-05	0.000112821	yes
YAL030W	YAL030W	SNC1	chrI:87286-87753	Batch	Chem	OK	8406.44	16796.2	0.998569	8.26978	5e-05	0.000112821	yes
YAL031C	YAL031C	GIP4	chrI:84669-87032	Batch	Chem	OK	1718.57	1629.97	-0.0763623	-0.378996	0.50715	0.537701	no
YAL031W-A	YAL031W-A	YAL031W-A	chrI:84669-87032	Batch	Chem	OK	1378.57	946.899	-0.541895	-0.475614	0.4094	0.445161	no
YAL032C	YAL032C	PRP45	chrI:83335-84475	Batch	Chem	OK	1977.55	3723.15	0.912808	4.98326	5e-05	0.000112821	yes
YAL033W	YAL033W	POP5	chrI:82706-83228	Batch	Chem	OK	7942.32	4170.72	-0.929264	-5.79718	5e-05	0.000112821	yes
YAL034C	YAL034C	FUN19	chrI:80710-81952	Batch	Chem	OK	1684.67	6328.18	1.90932	10.008	5e-05	0.000112821	yes
YAL034C-B	YAL034C-B	YAL034C-B	chrI:79489-80588	Batch	Chem	NOTEST	393.685	159.857	-1.30026	0	1	1	no
YAL034W-A	YAL034W-A	MTW1	chrI:79489-80588	Batch	Chem	OK	1717.49	2087.64	0.281569	0.967076	0.091	0.133467	no
YAL035W	YAL035W	FUN12	chrI:76427-79436	Batch	Chem	OK	16835.2	10584.9	-0.66948	-3.39893	5e-05	0.000112821	yes
YAL036C	YAL036C	RBG1	chrI:75043-76153	Batch	Chem	OK	9889.54	5510.67	-0.843676	-4.99097	5e-05	0.000112821	yes
YAL037C-A	YAL037C-A	YAL037C-A	chrI:73426-73519	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL037C-B	YAL037C-B	YAL037C-B	chrI:71786-73301	Batch	Chem	OK	36652.9	22306.6	-0.716456	-0.828322	0.14925	0.19603	no
YAL037W	YAL037W	YAL037W	chrI:74020-74824	Batch	Chem	OK	1217.1	1214.43	-0.00316872	-0.0110081	0.97005	0.97005	no
YAL038W	YAL038W	CDC19	chrI:71786-73301	Batch	Chem	OK	199343	105712	-0.915113	-3.17375	5e-05	0.000112821	yes
YAL039C	YAL039C	CYC3	chrI:68716-69526	Batch	Chem	OK	7123.5	8841.65	0.311729	1.97935	0.0061	0.0116696	yes
YAL040C	YAL040C	CLN3	chrI:65778-67521	Batch	Chem	OK	4063.38	2662.35	-0.609983	-3.42846	5e-05	0.000112821	yes
YAL041W	YAL041W	CDC24	chrI:62840-65405	Batch	Chem	OK	2797.47	2469.49	-0.179913	-0.961228	0.11945	0.166851	no
YAL042C-A	YAL042C-A	YAL042C-A	chrI:61231-62564	Batch	Chem	OK	11501.6	7071.51	-0.701744	-1.09571	0.0608	0.0955429	no
YAL042W	YAL042W	ERV46	chrI:61231-62564	Batch	Chem	OK	20393.4	12060.7	-0.757786	-3.79037	5e-05	0.000112821	yes
YAL043C	YAL043C	PTA1	chrI:58695-61053	Batch	Chem	OK	2818.01	3046.88	0.112657	0.607119	0.32485	0.371257	no
YAL044C	YAL044C	GCV3	chrI:57950-58463	Batch	Chem	OK	63032.3	39110.2	-0.688545	-5.41788	5e-05	0.000112821	yes
YAL044W-A	YAL044W-A	YAL044W-A	chrI:57488-57851	Batch	Chem	OK	5835.88	13514.2	1.21145	2.5341	0.0002	0.00044	yes
YAL045C	YAL045C	YAL045C	chrI:57488-57851	Batch	Chem	OK	4533.86	6498.35	0.519332	0.629216	0.28795	0.337861	no
YAL046C	YAL046C	AIM1	chrI:57029-57386	Batch	Chem	OK	9798.27	12282.6	0.326015	2.77049	0.01195	0.0220917	yes
YAL047C	YAL047C	SPC72	chrI:54989-56858	Batch	Chem	OK	1138.78	1341.41	0.236253	1.16934	0.06495	0.0993793	no
YAL047W-A	YAL047W-A	YAL047W-A	chrI:52801-54914	Batch	Chem	NOTEST	69.2714	99.7503	0.526062	0	1	1	no
YAL048C	YAL048C	GEM1	chrI:52801-54914	Batch	Chem	OK	1200.72	1855.2	0.627674	2.98436	5e-05	0.000112821	yes
YAL049C	YAL049C	AIM2	chrI:51855-52596	Batch	Chem	OK	8479.88	13814.1	0.704024	4.65561	5e-05	0.000112821	yes
YAL051W	YAL051W	OAF1	chrI:48564-51708	Batch	Chem	OK	1432.55	1605.61	0.164544	0.887816	0.13645	0.184732	no
YAL053W	YAL053W	FLC2	chrI:45899-48251	Batch	Chem	OK	5354.18	6684.87	0.320234	1.81764	0.00345	0.00674667	yes
YAL054C	YAL054C	ACS1	chrI:42881-45023	Batch	Chem	OK	677.445	78764.2	6.86129	28.84	5e-05	0.000112821	yes
YAL055W	YAL055W	PEX22	chrI:42177-42720	Batch	Chem	OK	1161	2513.84	1.11453	3.89131	5e-05	0.000112821	yes
YAL056C-A	YAL056C-A	YAL056C-A	chrI:37464-39047	Batch	Chem	OK	1160.13	672.536	-0.786607	-0.602859	0.30075	0.348237	no
YAL056W	YAL056W	GPB2	chrI:39259-41902	Batch	Chem	OK	1739.36	2978.03	0.775797	4.18888	5e-05	0.000112821	yes
YAL058W	YAL058W	CNE1	chrI:37464-39047	Batch	Chem	OK	2792.27	1750.19	-0.67393	-3.20156	5e-05	0.000112821	yes
YAL059C-A	YAL059C-A	YAL059C-A	chrI:36496-37148	Batch	Chem	OK	43.6849	790.591	4.17773	0.881051	0.20915	0.255628	no
YAL059W	YAL059W	ECM1	chrI:36496-37148	Batch	Chem	OK	9669.47	5775.09	-0.743593	-3.19597	5e-05	0.000112821	yes
YAL060W	YAL060W	BDH1	chrI:35155-36304	Batch	Chem	OK	18109.3	16933.1	-0.0968853	-0.602528	0.3644	0.405914	no
YAL061W	YAL061W	BDH2	chrI:33448-34702	Batch	Chem	OK	1286.74	9599.18	2.89919	14.1094	5e-05	0.000112821	yes
YAL062W	YAL062W	GDH3	chrI:31567-32941	Batch	Chem	OK	711.928	12098.5	4.08696	16.4354	5e-05	0.000112821	yes
YAL063C	YAL063C	FLO9	chrI:24000-27969	Batch	Chem	NOTEST	37.0938	65.7898	0.826684	0	1	1	no
YAL063C-A	YAL063C-A	YAL063C-A	chrI:22396-22687	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL064C-A	YAL064C-A	YAL064C-A	chrI:13363-13744	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL064W	YAL064W	YAL064W	chrI:21525-21852	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL064W-B	YAL064W-B	YAL064W-B	chrI:12046-12427	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL065C	YAL065C	YAL065C	chrI:11565-11952	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL066W	YAL066W	YAL066W	chrI:10091-10400	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL067C	YAL067C	SEO1	chrI:7235-9017	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL067W-A	YAL067W-A	YAL067W-A	chrI:2479-2707	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL068C	YAL068C	PAU8	chrI:1806-2169	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL068W-A	YAL068W-A	YAL068W-A	chrI:334-792	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAL069W	YAL069W	YAL069W	chrI:334-792	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR002C-A	YAR002C-A	ERP1	chrI:154066-154726	Batch	Chem	OK	33235.6	20028.5	-0.73067	-5.15909	5e-05	0.000112821	yes
YAR002W	YAR002W	NUP60	chrI:152258-153878	Batch	Chem	OK	5212.37	3360.82	-0.633127	-3.58476	5e-05	0.000112821	yes
YAR003W	YAR003W	SWD1	chrI:155006-156287	Batch	Chem	OK	3492.86	2548.04	-0.455018	-2.66928	5e-05	0.000112821	yes
YAR007C	YAR007C	RFA1	chrI:156755-158621	Batch	Chem	OK	5752.39	6766.3	0.234205	1.34315	0.03385	0.055163	no
YAR008W	YAR008W	SEN34	chrI:158966-159794	Batch	Chem	OK	3417.97	3066.62	-0.15649	-0.89029	0.22075	0.26611	no
YAR009C	YAR009C	YAR009C	chrI:160597-164188	Batch	Chem	NOTEST	2.28921	2.90117	0.341788	0	1	1	no
YAR010C	YAR010C	YAR010C	chrI:164544-165867	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR014C	YAR014C	BUD14	chrI:166742-168866	Batch	Chem	OK	5335.56	4419.47	-0.271766	-1.52544	0.0138	0.0247837	yes
YAR015W	YAR015W	ADE1	chrI:169369-170290	Batch	Chem	OK	42989.1	15030.3	-1.5161	-9.78616	5e-05	0.000112821	yes
YAR018C	YAR018C	KIN3	chrI:170390-171698	Batch	Chem	OK	2157.81	2105.52	-0.0353912	-0.192076	0.76515	0.773945	no
YAR019C	YAR019C	CDC15	chrI:172208-175340	Batch	Chem	OK	742.963	878.289	0.241405	1.16272	0.05635	0.09016	no
YAR019W-A	YAR019W-A	YAR019W-A	chrI:172208-175340	Batch	Chem	NOTEST	201.649	207.162	0.0389147	0	1	1	no
YAR020C	YAR020C	PAU7	chrI:176853-177021	Batch	Chem	OK	1529.7	10294.1	2.7505	13.3148	0.01205	0.0220917	yes
YAR023C	YAR023C	YAR023C	chrI:179278-179818	Batch	Chem	OK	1131.61	1283.06	0.181217	0.543513	0.5134	0.537848	no
YAR027W	YAR027W	UIP3	chrI:183763-184471	Batch	Chem	OK	5595.8	8074.86	0.529093	3.57899	5e-05	0.000112821	yes
YAR028W	YAR028W	YAR028W	chrI:184885-185590	Batch	Chem	OK	2115.86	701.103	-1.59355	-4.86842	5e-05	0.000112821	yes
YAR029W	YAR029W	YAR029W	chrI:186314-187726	Batch	Chem	NOTEST	831.36	157.275	-2.40218	0	1	1	no
YAR030C	YAR030C	YAR030C	chrI:186314-187726	Batch	Chem	NOTEST	341.447	98.9999	-1.78616	0	1	1	no
YAR031W	YAR031W	PRM9	chrI:186314-187726	Batch	Chem	OK	526.6	585.862	0.153855	0.287807	0.6197	0.634112	no
YAR033W	YAR033W	MST28	chrI:188100-188805	Batch	Chem	OK	1202.62	903.933	-0.41189	-1.25695	0.1016	0.14657	no
YAR035C-A	YAR035C-A	YAR035C-A	chrI:192330-192411	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR035W	YAR035W	YAT1	chrI:190186-192250	Batch	Chem	OK	1200.31	9091.95	2.92118	15.8468	5e-05	0.000112821	yes
YAR042W	YAR042W	SWH1	chrI:192612-196179	Batch	Chem	OK	2097.75	2236.33	0.0922888	0.489612	0.40975	0.44516	no
YAR047C	YAR047C	YAR047C	chrI:201459-201780	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR050W	YAR050W	FLO1	chrI:203393-208007	Batch	Chem	NOTEST	40.3434	73.8851	0.872951	0	1	1	no
YAR053W	YAR053W	YAR053W	chrI:208357-208654	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR060C	YAR060C	YAR060C	chrI:217147-217483	Batch	Chem	NOTEST	0	99.812	inf	0	1	1	no
YAR061W	YAR061W	YAR061W	chrI:218130-218334	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR062W	YAR062W	YAR062W	chrI:218539-219136	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR064W	YAR064W	YAR064W	chrI:220188-220488	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR066W	YAR066W	YAR066W	chrI:221039-221651	Batch	Chem	OK	206.086	763.891	1.89012	2.76076	0.0151	0.0260549	yes
YAR068W	YAR068W	YAR068W	chrI:222396-222882	Batch	Chem	OK	272.597	1032.14	1.9208	2.90103	0.01575	0.0266538	yes
YAR069C	YAR069C	YAR069C	chrI:224001-224295	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR070C	YAR070C	YAR070C	chrI:224553-224853	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YAR071W	YAR071W	PHO11	chrI:225450-226854	Batch	Chem	OK	248.509	295.949	0.252047	0.514951	0.44115	0.473429	no
YAR073W	YAR073W	IMD1	chrI:227732-229308	Batch	Chem	NOTEST	200.179	159.755	-0.325424	0	1	1	no
YAR075W	YAR075W	YAR075W	chrI:227732-229308	Batch	Chem	NOTEST	0	24.3877	inf	0	1	1	no
YBL001C	YBL001C	ECM15	chrII:237154-237469	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL002W	YBL002W	HTB2	chrII:236494-236890	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL003C	YBL003C	HTA2	chrII:235396-235795	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL004W	YBL004W	UTP20	chrII:227638-235120	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL005W	YBL005W	PDR3	chrII:217472-220403	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL005W-A	YBL005W-A	YBL005W-A	chrII:221332-226601	Batch	Chem	LOWDATA	0	0	0	0	1	1	no
YBL005W-B	YBL005W-B	YBL005W-B	chrII:221332-226601	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL006C	YBL006C	LDB7	chrII:216589-217132	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL006W-A	YBL006W-A	YBL006W-A	chrII:216589-217132	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL007C	YBL007C	SLA1	chrII:212634-216369	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL008W	YBL008W	HIR1	chrII:209655-212178	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL008W-A	YBL008W-A	YBL008W-A	chrII:209411-209651	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL009W	YBL009W	ALK2	chrII:207196-209227	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL010C	YBL010C	YBL010C	chrII:206109-206952	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL011W	YBL011W	SCT1	chrII:203408-205820	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL012C	YBL012C	YBL012C	chrII:203408-205820	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL013W	YBL013W	FMT1	chrII:202058-203264	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL014C	YBL014C	RRN6	chrII:199066-201751	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL015W	YBL015W	ACH1	chrII:194124-195705	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL016W	YBL016W	FUS3	chrII:192453-193515	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL017C	YBL017C	PEP1	chrII:186846-191586	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL018C	YBL018C	POP8	chrII:186000-186477	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL019W	YBL019W	APN2	chrII:184355-185918	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL020W	YBL020W	RFT1	chrII:182403-184128	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL021C	YBL021C	HAP3	chrII:181662-182097	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL022C	YBL022C	PIM1	chrII:177876-181278	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL023C	YBL023C	MCM2	chrII:174922-177529	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL024W	YBL024W	NCL1	chrII:172536-174591	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL025W	YBL025W	RRN10	chrII:171483-171921	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL026W	YBL026W	LSM2	chrII:170625-171041	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL027W	YBL027W	RPL19B	chrII:168425-169379	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL028C	YBL028C	YBL028C	chrII:167520-167841	Batch	Chem	NOTEST	0	0	0	0	1	1	no
YBL029C-A	YBL029C-A	YBL029C-A	chrII:164490-164775	Batch	Chem	NOTEST	0	0	0	0	1	1	no
